produktlink-href,Title,Members_price,Price
https://www.skalk.dk/webshoppen/produkter/imports/9788789531151-til-hele-rigets-vaern/,Til hele rigets værn,"Medlemspris: 140,00 kr.","Pris: 188,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788712057505-when-architecture-tells-the-story/,When architecture tells the story,"Medlemspris: 297,50 kr.","Pris: 349,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788774061342-en-soenderjysk-roemningsmand-i-groenland/,En sønderjysk rømningsmand i Grønland,"Medlemspris: 132,50 kr.","Pris: 98,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788711699089-danmarks-titanic/,Danmarks Titanic,"Medlemspris: 255,00 kr.","Pris: 299,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788772162256-alverdens-vikinger/,Alverdens vikinger,"Medlemspris: 340,00 kr.","Pris: 399,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788772192949-tings-tale-03/,Tings tale 03,"Medlemspris: 162,00 kr.","Pris: 180,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788788415766-kongens-borge/,Kongens Borge,"Medlemspris: 312,75 kr.","Pris: 348,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788799508679-dansk-koloni-i-indieland/,DANSK KOLONI I INDIELAND,"Medlemspris: 315,00 kr.","Pris: 349,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788788415438-tranbaer-mosefund/,Tranbær Mosefund,"Medlemspris: 177,50 kr.","Pris: 198,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788772374123-her-findes-et-minde/,Her findes et minde,"Medlemspris: 225,00 kr.","Pris: 299,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788772372143-roede-viking/,Røde viking,"Medlemspris: 120,00 kr.","Pris: 159,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788792625939-inddaemningen-ved-odense-fjord/,Inddæmningen ved Odense Fjord,"Medlemspris: 180,00 kr.","Pris: 200,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788702220353-den-folkekaere-stalinist/,Den folkekære stalinist,"Medlemspris: 315,00 kr.","Pris: 349,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788772190532-gefjon-4/,Gefjon 4,"Medlemspris: 212,46 kr.","Pris: 249,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788740662030-ubaadskrig-i-kattegat/,Ubådskrig i Kattegat,"Medlemspris: 223,75 kr.","Pris: 279,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788789531007-line-og-faetter-lukas-paa-opdagelsesrejse/,Line og fætter Lukas på opdagelsesrejse,"Medlemspris: 48,00 kr.","Pris: 64,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788740655612-koebenhavn/,København,"Medlemspris: 200,00 kr.","Pris: 249,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788793771079-det-modige-skib-lotus/,Det modige skib Lotus,"Medlemspris: 63,75 kr.","Pris: 75,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788771143157-odense-fortaellinger/,Odense Fortællinger,"Medlemspris: 119,00 kr.","Pris: 140,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788712059066-skilleveje/,Skilleveje,"Medlemspris: 255,00 kr.","Pris: 299,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788702250602-de-uoenskede/,De uønskede,"Medlemspris: 340,00 kr.","Pris: 399,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788793464407-poq-den-foerste-groenlaender-i-danmark-som-kom-hjem/,Poq den første grønlænder i Danmark som kom hjem,"Medlemspris: 268,88 kr.","Pris: 299,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788793423084-tvilum-kloster/,Tvilum Kloster,"Medlemspris: 197,50 kr.","Pris: 220,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788799933631-vor-frue-kloster/,Vor Frue Kloster,"Medlemspris: 127,50 kr.","Pris: 150,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788788415292-grauballe-man/,Grauballe Man,"Medlemspris: 297,50 kr.","Pris: 350,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788740610727-gudenaaen/,Gudenåen,"Medlemspris: 200,00 kr.","Pris: 249,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788740654189-bornholm-med-ertholmene/,Bornholm med Ertholmene,"Medlemspris: 200,00 kr.","Pris: 249,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788789531038-en-liden-bog-om-allehaande-sygdomme/,En liden bog om allehånde sygdomme,"Medlemspris: 137,50 kr.","Pris: 194,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788740059397-lusepustere-og-slingrefise/,Lusepustere og slingrefise,"Medlemspris: 170,00 kr.","Pris: 200,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788793958487-postkort-fortaeller-historie-fra-kolding-egnen/,Postkort fortæller historie fra Kolding-egnen,"Medlemspris: 237,50 kr.","Pris: 249,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788763546386-let-greece-and-rome-be-silent/,Let Greece and Rome Be Silent,"Medlemspris: 278,75 kr.","Pris: 348,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788774674733-jerntaeppet/,Jerntæppet,"Medlemspris: 212,50 kr.","Pris: 249,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788779342972-nordbomoenstre/,Nordbomønstre,"Medlemspris: 210,00 kr.","Pris: 248,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788740833386-kongens-klaeder-2/,Kongens klæder 2,"Medlemspris: 538,20 kr.","Pris: 598,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788793272705-plovmanden-soeren-revsgaard-randrup/,Plovmanden Søren Revsgaard Randrup,"Medlemspris: 247,50 kr.","Pris: 275,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788779343085-means-of-exchange/,Means of Exchange,"Medlemspris: 393,75 kr.","Pris: 438,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788799881628-de-frie-boenders-land/,De frie bønders land,"Medlemspris: 255,00 kr.","Pris: 299,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788797146613-krigens-sidste-aar/,Krigens sidste år,"Medlemspris: 340,00 kr.","Pris: 400,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788712060642-poul-og-kaerligheden/,Poul og kærligheden,"Medlemspris: 297,50 kr.","Pris: 349,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788793286146-bronzealderens-helleristninger-som-solkalender/,Bronzealderens helleristninger som solkalender,"Medlemspris: 300,00 kr.","Pris: 325,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788740037319-de-sidste-fiskere/,De sidste fiskere,"Medlemspris: 255,00 kr.","Pris: 300,00 kr."
