"web-scraper-order","web-scraper-start-url","pagination","pagination-href","productlinks","productlinks-href","bookimg-src","title","medlemspris","pris","salgstext","ISBN"
"1629472683-606","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",7,"https://www.skalk.dk/webshoppen/?page=7&categories=18858&sort=alphabetical","Konge, kirke og samfund
                          Medlemspris: 403,75 kr.
                          Pris: 448,00 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788779342163-konge-kirke-og-samfund/",,"Konge, kirke og samfund","Medlemspris: 403,75 kr.","Pris: 448,00 kr.","Indtil reformationen var der to øvrighedsmagter i Danmark: kongen og kirken. Ved at sikre freden og opretholde samfundsordenen betryggede kongemagten rammerne om kirkens virke, og kirken legitimerede til gengæld kongens position religiøst. Bogen fokuserer særligt på kongens og kirkens udøvelse af øvrighedsmagt over det store flertal af bønder og på religionen som en samfundsmagt med betydning i talrige af dagliglivets sammenhænge.","https://images.bogportalen.dk/images/9788779342163-konge-kirke-og-samfund/"
"1629472167-402","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",9,"https://www.skalk.dk/webshoppen/?page=9&categories=18858&sort=alphabetical",,,"/Media/DownloadetImages/9788779342972.jpg?width=280&heightratio=1&mode=boxpad",,,,,
"1629472009-336","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",10,"https://www.skalk.dk/webshoppen/?page=10&categories=18858&sort=alphabetical",,,"/Media/DownloadetImages/9788799881635.jpg?width=280&heightratio=1&mode=boxpad",,,,,
"1629471735-224","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",12,"https://www.skalk.dk/webshoppen/?page=12&categories=18858&sort=alphabetical","Trap Danmark: Jammerbugt, Thisted, Brønderslev
                          Medlemspris: 340,00 kr.
                          Pris: 399,95 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788771810080-trap-danmark-jammerbugt-thisted-broenderslev/",,"Trap Danmark: Jammerbugt, Thisted, Brønderslev","Medlemspris: 340,00 kr.","Pris: 399,95 kr.","Trap Danmark, 6. udgave, bind 4 giver dig en omfattende stedsspecifik viden om Jammerbugt, Thisted og Brønderslev kommuner. I alt har 165 forskere og eksperter bidraget med viden til den flot illustrerede bog om det væsentligste fra Blokhus til Agger og fra Hanstholm til Asaa.",
"1629471806-236","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",12,"https://www.skalk.dk/webshoppen/?page=12&categories=18858&sort=alphabetical","Thor-kult i vikingetiden
                          Medlemspris: 198,00 kr.
                          Pris: 248,00 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788763540735-thor-kult-i-vikingetiden/",,"Thor-kult i vikingetiden","Medlemspris: 198,00 kr.","Pris: 248,00 kr.","Thor-kult i vikingetiden præsenterer den første, samlede kritiske gennemgang af kildematerialet til dyrkelsen af Thor i vikingetiden siden Henry Petersens disputats Om Nordboernes Gudedyrkelse og Gudetro i Hedenold fra 1876. Monografien gennemgår de samtidige skriftlige, arkæologiske og ikonografiske kilder, der omtaler eller kan knyttes til dyrkelsen af Thor. Kilderne omfatter myter om Thor, stednavne, hvor navnet Thor indgår, samt den norrøne middelalderlitteratur fra 1200- og 1300-tallet.",
"1629472787-635","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",7,"https://www.skalk.dk/webshoppen/?page=7&categories=18858&sort=alphabetical","Jelling - Husene og deres mennesker - 1860 - 1960
                          Medlemspris: 250,00 kr.
                          Pris: 295,00 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788792571328-jelling-husene-og-deres-mennesker-1860-1960/",,"Jelling - Husene og deres mennesker - 1860 - 1960","Medlemspris: 250,00 kr.","Pris: 295,00 kr.",,
"1629472728-616","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",7,"https://www.skalk.dk/webshoppen/?page=7&categories=18858&sort=alphabetical","Karen Blixens kogebog
                          Medlemspris: 200,00 kr.
                          Pris: 249,95 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788750057680-karen-blixens-kogebog/",,"Karen Blixens kogebog","Medlemspris: 200,00 kr.","Pris: 249,95 kr.",,
"1629472157-388","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",10,"https://www.skalk.dk/webshoppen/?page=10&categories=18858&sort=alphabetical","Opfindelsen af naturen
                          Medlemspris: 340,00 kr.
                          Pris: 399,95 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788712058403-opfindelsen-af-naturen/",,"Opfindelsen af naturen","Medlemspris: 340,00 kr.","Pris: 399,95 kr.","Bogen fortæller historien om den tyske naturvidenskabsmand og forskningsrejsende Alexander von Humboldt (1769-1859),og om hvordan han grundlagde den måde, vi forstår og beskriver naturen på i dag.",
"1629472857-687","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",6,"https://www.skalk.dk/webshoppen/?page=6&categories=18858&sort=alphabetical","Horsens i årtier - 1950'erne
                          Medlemspris: 280,00 kr.
                          Pris: 349,95 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788740620610-horsens-i-aartier-1950erne/",,"Horsens i årtier - 1950'erne","Medlemspris: 280,00 kr.","Pris: 349,95 kr.","Horsens er en by med en rig historie, og gennem tiden har byen gennemgået mange forandringer. Den har udviklet sig fra fængsels- og arbejderby til uddannelses- og kulturby, og udviklingen fortsætter med stor fart.",
"1629472080-359","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",10,"https://www.skalk.dk/webshoppen/?page=10&categories=18858&sort=alphabetical","Rejsen til Amerika
                          Medlemspris: 240,00 kr.
                          Pris: 299,95 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788711983492-rejsen-til-amerika/",,"Rejsen til Amerika","Medlemspris: 240,00 kr.","Pris: 299,95 kr.","""Et uvurderligt bidrag til den del af dansk historie, der udspiller sig oversøisk."" Information",
"1629472167-403","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",9,"https://www.skalk.dk/webshoppen/?page=9&categories=18858&sort=alphabetical",,,"/Media/DownloadetImages/9788799455515.jpg?width=280&heightratio=1&mode=boxpad",,,,,
"1629472009-333","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",10,"https://www.skalk.dk/webshoppen/?page=10&categories=18858&sort=alphabetical",,,"/Media/DownloadetImages/9788771845853.jpg?width=280&heightratio=1&mode=boxpad",,,,,
"1629471974-308","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",11,"https://www.skalk.dk/webshoppen/?page=11&categories=18858&sort=alphabetical","Skalks tidstavle
                          Medlemspris: 60,00 kr.
                          Pris: 60,00 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788789531137-skalks-tidstavle/",,"Skalks tidstavle","Medlemspris: 60,00 kr.","Pris: 60,00 kr.",,
"1629473425-915","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",2,"https://www.skalk.dk/webshoppen/?page=2&categories=18858&sort=alphabetical",,,"/Media/DownloadetImages/9788763538916.jpg?width=280&heightratio=1&mode=boxpad",,,,,
"1629471927-301","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",11,"https://www.skalk.dk/webshoppen/?page=11&categories=18858&sort=alphabetical","St. Thomas-mysteriet
                          Medlemspris: 127,50 kr.
                          Pris: 149,00 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788799730025-st-thomas-mysteriet/",,"St. Thomas-mysteriet","Medlemspris: 127,50 kr.","Pris: 149,00 kr.","Bogen er rigt illustreret med samtidige fotos fra Vestindien og København.",
"1629472423-498","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",8,"https://www.skalk.dk/webshoppen/?page=8&categories=18858&sort=alphabetical","Landsmænd
                          Medlemspris: 170,00 kr.
                          Pris: 200,00 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788740062465-landsmaend/",,"Landsmænd","Medlemspris: 170,00 kr.","Pris: 200,00 kr.","I oktober 1943 lykkedes det langt hovedparten af de danske jøder at flygte til Sverige. 
Hvordan gik det til, og hvorfor valgte langt de fleste danskere at hjælpe deres landsmænd på flugt?",
"1629473490-953","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",2,"https://www.skalk.dk/webshoppen/?page=2&categories=18858&sort=alphabetical","Danmark og Færøerne
                          Medlemspris: 140,00 kr.
                          Pris: 175,00 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788763538916-danmark-og-faeroeerne/",,"Danmark og Færøerne","Medlemspris: 140,00 kr.","Pris: 175,00 kr.","Det er sandsynligvis for sent at forsøge at skabe et egentligt fællesskab mellem de to lande, men at øge kendskabet til og opmærksomheden på Færøerne må være afgørende, hvis vi stadig skal kunne berettige rigsfællesskabets eksistens. Det er bogens håb at være med til at kaste et nyt og mere tidssvarende lys over og bidrage til en bredere forståelse af den dansk-færøske relations historie og udvikling.",
"1629472297-446","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",9,"https://www.skalk.dk/webshoppen/?page=9&categories=18858&sort=alphabetical","Nyhed
          
            
              
                                  
              
            
          
              Museologi mellem fagene
                          Medlemspris: 338,75 kr.
                          Pris: 399,95 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788771847444-museologi-mellem-fagene/",,"Museologi mellem fagene","Medlemspris: 338,75 kr.","Pris: 399,95 kr.",,
"1629472132-383","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",10,"https://www.skalk.dk/webshoppen/?page=10&categories=18858&sort=alphabetical","Plovmanden Søren Revsgaard Randrup
                          Medlemspris: 247,50 kr.
                          Pris: 275,00 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788793272705-plovmanden-soeren-revsgaard-randrup/",,"Plovmanden Søren Revsgaard Randrup","Medlemspris: 247,50 kr.","Pris: 275,00 kr.","Denne bog er en biografi om Søren Revsgaard Randrup (1876-1935), en dansk forretningsmand, der i slutningen af 1800-tallet rejste til Sibirien og grundlagde en plovfabrik i Omsk. Til forskel fra de mange andre danske virksomheder, som i begyndelsen af 1900-tallet drev forretning i Sibirien, havde Søren Randrups virksomhed sit hovedsæde i Omsk, og han boede der selv permanent. I 1919, da den russiske revolution nåede Sibirien og forretningen bart blev stoppet, havde Randrup 400 ansatte og hans fabrik producerede 25.000 plove om året. Søren Randrup tog aktivt del i det sibiriske erhvervsliv, og hans fabrik var ikke en filial af en virksomhed i Danmark. Måske er det derfor, at han i dag er en berømthed i Sibirien, men stort set ukendt herhjemme.",
"1629472326-466","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",8,"https://www.skalk.dk/webshoppen/?page=8&categories=18858&sort=alphabetical",,,"/Media/DownloadetImages/9788740059397.jpg?width=280&heightratio=1&mode=boxpad",,,,,
"1629473009-737","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",5,"https://www.skalk.dk/webshoppen/?page=5&categories=18858&sort=alphabetical","Genforeningen 1920
                          Medlemspris: 320,00 kr.
                          Pris: 399,95 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788711906682-genforeningen-1920/",,"Genforeningen 1920","Medlemspris: 320,00 kr.","Pris: 399,95 kr.","Det danske nederlag til preusserne i 1864 er malet tydeligt ind i danmarkshistorien, og krigen og ikke mindst nederlaget er en del af vores nationale fortælling og selvforståelse. Men hvad skete der 56 år senere, i 1920, da betydelige dele af det tabte land med Genforeningen kom tilbage og skabte det danmarkskort, vi kender i dag?",
"1629472530-547","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical","<","https://www.skalk.dk/webshoppen/?page=13&categories=18858&sort=alphabetical","Vikingetidens konger
                          Medlemspris: 297,50 kr.
                          Pris: 349,00 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788792467218-vikingetidens-konger/",,"Vikingetidens konger","Medlemspris: 297,50 kr.","Pris: 349,00 kr.",,
